Land,Jahr,Wahltag,Wahlbeteiligung,Partei,Anteil
Schleswig-Holstein,1947,1947-02-20,69.8,CDUCSU,34.1
Schleswig-Holstein,1950,1950-07-09,78.2,CDUCSU,19.8
Schleswig-Holstein,1954,1954-09-12,78.6,CDUCSU,32.2
Schleswig-Holstein,1958,1958-11-28,78.7,CDUCSU,44.4
Schleswig-Holstein,1962,1962-11-23,70.1,CDUCSU,45
Schleswig-Holstein,1967,1967-04-23,74.1,CDUCSU,46
Schleswig-Holstein,1971,1971-04-25,79.2,CDUCSU,51.9
Schleswig-Holstein,1975,1975-04-13,82.3,CDUCSU,50.4
Schleswig-Holstein,1979,1979-04-29,83.3,CDUCSU,48.3
Schleswig-Holstein,1983,1983-03-13,84.8,CDUCSU,49
Schleswig-Holstein,1987,1987-09-13,76.6,CDUCSU,42.6
Schleswig-Holstein,1988,1988-05-08,77.4,CDUCSU,33.3
Schleswig-Holstein,1992,1992-04-05,71.7,CDUCSU,33.8
Schleswig-Holstein,1996,1996-03-24,71.8,CDUCSU,37.2
Schleswig-Holstein,2000,2000-02-27,69.5,CDUCSU,35.2
Schleswig-Holstein,2005,2005-02-20,66.5,CDUCSU,40.2
Schleswig-Holstein,2009,2009-09-27,73.5,CDUCSU,31.5
Schleswig-Holstein,2012,2012-05-06,60.2,CDUCSU,30.8
Schleswig-Holstein,2017,2017-05-07,64.2,CDUCSU,32
Mecklenburg-Vorpommern,1990,1990-10-14,64.7,CDUCSU,38.3
Mecklenburg-Vorpommern,1994,1994-10-16,72.9,CDUCSU,37.7
Mecklenburg-Vorpommern,1998,1998-09-27,79.4,CDUCSU,30.2
Mecklenburg-Vorpommern,2002,2002-09-22,70.6,CDUCSU,31.4
Mecklenburg-Vorpommern,2006,2006-09-17,59.1,CDUCSU,28.8
Mecklenburg-Vorpommern,2011,2011-09-04,51.5,CDUCSU,23
Mecklenburg-Vorpommern,2016,2016-09-04,61.9,CDUCSU,19
Hamburg,1946,1946-10-13,79,CDUCSU,26.7
Hamburg,1949,1949-10-16,70.5,CDUCSU,34.5
Hamburg,1953,1953-11-01,80.9,CDUCSU,50
Hamburg,1957,1957-11-10,77.3,CDUCSU,32.2
Hamburg,1961,1961-11-12,72.3,CDUCSU,29.1
Hamburg,1966,1966-03-27,69.8,CDUCSU,30
Hamburg,1970,1970-03-22,73.4,CDUCSU,32.8
Hamburg,1974,1974-03-03,80.4,CDUCSU,40.6
Hamburg,1978,1978-06-04,76.6,CDUCSU,37.6
Hamburg,1982,1982-06-06,77.8,CDUCSU,43.2
Hamburg,1982,1982-12-19,84,CDUCSU,38.6
Hamburg,1986,1986-11-09,77.8,CDUCSU,41.9
Hamburg,1987,1987-05-17,79.5,CDUCSU,40.5
Hamburg,1991,1991-06-02,66.1,CDUCSU,35.1
Hamburg,1993,1993-09-19,69.6,CDUCSU,25
Hamburg,1997,1997-09-21,68.7,CDUCSU,30.7
Hamburg,2001,2001-09-23,71,CDUCSU,26.2
Hamburg,2004,2004-02-29,68.7,CDUCSU,47.2
Hamburg,2008,2008-02-24,63.5,CDUCSU,42.6
Hamburg,2011,2011-02-20,57.3,CDUCSU,21.9
Hamburg,2015,2015-02-15,56.5,CDUCSU,15.9
Niedersachsen,1947,1947-02-20,65.1,CDUCSU,19.9
Niedersachsen,1951,1951-05-06,75.8,CDUCSU,23.7
Niedersachsen,1955,1955-04-24,77.5,CDUCSU,26.6
