Poll_ID,Date,Vote_Date,Parliament_ID,Parliament_Name,Institute_ID,Institute_Name,n,Party_ID,Party_Name,Pct
1400,2019-09-02,NA,0,Bundestag,5,INSA,2017,1,CDUCSU,26
1400,2019-09-02,NA,0,Bundestag,5,INSA,2017,4,Gruene,23.5
1400,2019-09-02,NA,0,Bundestag,5,INSA,2017,7,AfD,15
1400,2019-09-02,NA,0,Bundestag,5,INSA,2017,2,SPD,14.5
1400,2019-09-02,NA,0,Bundestag,5,INSA,2017,3,FDP,8.5
1400,2019-09-02,NA,0,Bundestag,5,INSA,2017,5,Linke,7
1400,2019-09-02,NA,0,Bundestag,5,INSA,2017,0,Sonstige,5.5
1399,2019-08-31,NA,3,Berlin,2,Forsa,1003,4,Gruene,24
1399,2019-08-31,NA,3,Berlin,2,Forsa,1003,5,Linke,17
1399,2019-08-31,NA,3,Berlin,2,Forsa,1003,2,SPD,16
1399,2019-08-31,NA,3,Berlin,2,Forsa,1003,1,CDUCSU,16
1399,2019-08-31,NA,3,Berlin,2,Forsa,1003,7,AfD,11
1399,2019-08-31,NA,3,Berlin,2,Forsa,1003,0,Sonstige,10
1399,2019-08-31,NA,3,Berlin,2,Forsa,1003,3,FDP,6
1398,2019-08-31,NA,0,Bundestag,3,Emnid,1434,1,CDUCSU,29
1398,2019-08-31,NA,0,Bundestag,3,Emnid,1434,4,Gruene,22
1398,2019-08-31,NA,0,Bundestag,3,Emnid,1434,2,SPD,15
1398,2019-08-31,NA,0,Bundestag,3,Emnid,1434,7,AfD,14
1398,2019-08-31,NA,0,Bundestag,3,Emnid,1434,3,FDP,7
1398,2019-08-31,NA,0,Bundestag,3,Emnid,1434,5,Linke,7
1398,2019-08-31,NA,0,Bundestag,3,Emnid,1434,0,Sonstige,6
1397,2019-08-31,NA,0,Bundestag,2,Forsa,2501,1,CDUCSU,27
1397,2019-08-31,NA,0,Bundestag,2,Forsa,2501,4,Gruene,23
1397,2019-08-31,NA,0,Bundestag,2,Forsa,2501,2,SPD,15
1397,2019-08-31,NA,0,Bundestag,2,Forsa,2501,7,AfD,12
1397,2019-08-31,NA,0,Bundestag,2,Forsa,2501,3,FDP,9
1397,2019-08-31,NA,0,Bundestag,2,Forsa,2501,0,Sonstige,7
1397,2019-08-31,NA,0,Bundestag,2,Forsa,2501,5,Linke,7
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,1,CDUCSU,32
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,7,AfD,24.5
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,5,Linke,14
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,4,Gruene,11
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,2,SPD,8.5
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,0,Sonstige,5
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,3,FDP,5
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,2,SPD,22
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,7,AfD,21
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,1,CDUCSU,16.5
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,4,Gruene,14.5
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,5,Linke,14
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,3,FDP,5
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,0,Sonstige,4
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,0,Sonstige,3
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,1,CDUCSU,29
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,7,AfD,24.9
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,5,Linke,15
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,4,Gruene,10.9
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,2,SPD,8.9
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,3,FDP,5.7
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,0,Sonstige,5.6
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,2,SPD,20.3
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,7,AfD,20.3
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,1,CDUCSU,17.9
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,5,Linke,15.5
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,4,Gruene,14.8
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,0,Sonstige,6.3
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,3,FDP,4.9
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,2,SPD,21
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,7,AfD,21
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,1,CDUCSU,17
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,5,Linke,15
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,4,Gruene,14
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,3,FDP,5
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,0,Sonstige,5
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,0,Sonstige,2
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,1,CDUCSU,29
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,7,AfD,25
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,5,Linke,15
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,4,Gruene,11
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,2,SPD,8
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,3,FDP,5
