Poll_ID,Date,Vote_Date,Parliament_ID,Parliament_Name,Institute_ID,Institute_Name,n,Party_ID,Party_Name,Pct,Vote_Pct,Distance,Delta,Error,is.legacypollster
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,1,CDUCSU,32,32.1,3,2.2460750450567213,0.044522109900150764,TRUE
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,7,AfD,24.5,27.5,3,2.070862840179535,1.448671511117517,TRUE
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,5,Linke,14,10.4,3,1.670736884755008,2.154737848220723,TRUE
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,4,Gruene,11,8.6,3,1.506559065307467,1.5930341234315928,TRUE
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,2,SPD,8.5,7.7,3,1.3428108046074205,0.5957652390456338,TRUE
1396,2019-08-29,2019-09-01,13,Sachsen,6,Forschungsgruppe Wahlen,1657,3,FDP,5,4.5,3,1.0494013582141037,0.47646212393979737,TRUE
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,2,SPD,22,26.2,3,1.9970010183148719,2.1031536596531546,TRUE
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,7,AfD,21,23.5,3,1.9635539467082113,1.2732015864352038,TRUE
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,1,CDUCSU,16.5,15.6,3,1.7893893756161787,0.502964872969632,TRUE
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,4,Gruene,14.5,10.8,3,1.6974097914174997,2.179791832654709,TRUE
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,5,Linke,14,10.7,3,1.6727571235640761,1.9727908813018975,TRUE
1395,2019-08-29,2019-09-01,4,Brandenburg,6,Forschungsgruppe Wahlen,1653,3,FDP,5,4.1,3,1.050670284141039,0.8565960354877487,TRUE
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,1,CDUCSU,29,32.1,4,1.2558818266510836,2.468385109342984,FALSE
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,7,AfD,24.9,27.5,4,1.1968514346943027,2.1723665315771528,FALSE
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,5,Linke,15,10.4,4,0.988270188815637,4.654597550405454,FALSE
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,4,Gruene,10.9,8.6,4,0.862527009590529,2.666583161368928,FALSE
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,2,SPD,8.9,7.7,4,0.788088144834013,1.5226723151034633,FALSE
1394,2019-08-28,2019-09-01,13,Sachsen,16,Civey,5015,3,FDP,5.7,4.5,4,0.6416731643527323,1.8701109328928578,FALSE
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,2,SPD,20.3,26.2,4,1.589518904564359,3.7118149290693823,FALSE
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,7,AfD,20.3,23.5,4,1.589518904564359,2.0131877581393263,FALSE
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,1,CDUCSU,17.9,15.6,4,1.5149092306919818,1.518242778776523,FALSE
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,5,Linke,15.5,10.7,4,1.4301537241837845,3.3562825581840516,FALSE
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,4,Gruene,14.8,10.8,4,1.4032633186481485,2.8504985107523875,FALSE
1393,2019-08-28,2019-09-01,4,Brandenburg,16,Civey,2460,3,FDP,4.9,4.1,4,0.8530545746416657,0.9378063535220462,FALSE
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,2,SPD,21,26.2,5,2.500876078097041,2.0792713583620532,TRUE
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,7,AfD,21,23.5,5,2.500876078097041,0.9996496915202181,TRUE
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,1,CDUCSU,17,15.6,5,2.3063886184409164,0.6070095858114228,TRUE
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,5,Linke,15,10.7,5,2.1924215979594837,1.9613016054950694,TRUE
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,4,Gruene,14,10.8,5,2.1305033568346725,1.5019924703401066,TRUE
1392,2019-08-27,2019-09-01,4,Brandenburg,5,INSA,1019,3,FDP,5,4.1,5,1.3381838497387675,0.6725533267911529,TRUE
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,1,CDUCSU,29,32.1,5,2.7874709862198888,1.1121191988455226,TRUE
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,7,AfD,25,27.5,5,2.6600072381247815,0.9398470666427279,TRUE
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,5,Linke,15,10.4,5,2.1934981615391966,2.097106840870174,TRUE
1391,2019-08-27,2019-09-01,13,Sachsen,5,INSA,1018,4,Gruene,11,8.6,5,1.9220891548148786,1.2486413515148056,TRUE
